chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1752154023,2025-07-10T13:27:03Z,MTU2-11,MTU2-11,35(12/12),0,=,MTU2-11,\S,39.023167,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154059,2025-07-10T13:27:39Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.023000,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154092,2025-07-10T13:28:12Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.023000,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154125,2025-07-10T13:28:45Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.022833,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154162,2025-07-10T13:29:22Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.022833,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154199,2025-07-10T13:29:59Z,MTU2-11,MTU2-11,35(11/12),0,=,MTU2-11,\S,39.022667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154235,2025-07-10T13:30:35Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.022667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154267,2025-07-10T13:31:07Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.022833,-77.073000,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154304,2025-07-10T13:31:44Z,MTU2-11,MTU2-11,35(10/12),0,=,MTU2-11,\S,39.022833,-77.073000,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154341,2025-07-10T13:32:21Z,MTU2-11,MTU2-11,35(11/12),0,=,MTU2-11,\S,39.023167,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154375,2025-07-10T13:32:55Z,MTU2-11,MTU2-11,35(11/12),0,=,MTU2-11,\S,39.023167,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154408,2025-07-10T13:33:28Z,MTU2-11,MTU2-11,35(11/10),0,=,MTU2-11,\S,39.023167,-77.073000,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154443,2025-07-10T13:34:03Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.023167,-77.073000,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154478,2025-07-10T13:34:38Z,MTU2-11,MTU2-11,35(12/10),0,=,MTU2-11,\S,39.023333,-77.073167,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154513,2025-07-10T13:35:13Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.023333,-77.073167,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154549,2025-07-10T13:35:49Z,MTU2-11,MTU2-11,36(14/11),0,=,MTU2-11,\S,39.023667,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154583,2025-07-10T13:36:23Z,MTU2-11,MTU2-11,35(13/12),0,=,MTU2-11,\S,39.023667,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154616,2025-07-10T13:36:56Z,MTU2-11,MTU2-11,35(11/13),0,=,MTU2-11,\S,39.023667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154649,2025-07-10T13:37:29Z,MTU2-11,MTU2-11,35(12/12),0,=,MTU2-11,\S,39.023667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154685,2025-07-10T13:38:05Z,MTU2-11,MTU2-11,35(13/11),0,=,MTU2-11,\S,39.023667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154721,2025-07-10T13:38:41Z,MTU2-11,MTU2-11,35(10/11),0,=,MTU2-11,\S,39.023667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154758,2025-07-10T13:39:18Z,MTU2-11,MTU2-11,35(10/11),0,=,MTU2-11,\S,39.023667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154794,2025-07-10T13:39:54Z,MTU2-11,MTU2-11,35(10/11),0,=,MTU2-11,\S,39.023667,-77.073333,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154827,2025-07-10T13:40:27Z,MTU2-11,MTU2-11,35(13/12),0,=,MTU2-11,\S,39.023333,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154859,2025-07-10T13:40:59Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.023333,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154895,2025-07-10T13:41:35Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.023667,-77.073667,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154930,2025-07-10T13:42:10Z,MTU2-11,MTU2-11,35(10/11),0,=,MTU2-11,\S,39.023667,-77.073667,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752154964,2025-07-10T13:42:44Z,MTU2-11,MTU2-11,35(12/12),0,=,MTU2-11,\S,39.023500,-77.073667,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155000,2025-07-10T13:43:20Z,MTU2-11,MTU2-11,35(12/12),0,=,MTU2-11,\S,39.023500,-77.073667,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155034,2025-07-10T13:43:54Z,MTU2-11,MTU2-11,35(11/13),0,=,MTU2-11,\S,39.023667,-77.073833,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155066,2025-07-10T13:44:26Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.023667,-77.073833,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155103,2025-07-10T13:45:03Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.024000,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155136,2025-07-10T13:45:36Z,MTU2-11,MTU2-11,35(11/12),0,=,MTU2-11,\S,39.024000,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155170,2025-07-10T13:46:10Z,MTU2-11,MTU2-11,35(11/11),0,=,MTU2-11,\S,39.024167,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155206,2025-07-10T13:46:46Z,MTU2-11,MTU2-11,35(11/13),0,=,MTU2-11,\S,39.024167,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155241,2025-07-10T13:47:21Z,MTU2-11,MTU2-11,35(11/10),0,=,MTU2-11,\S,39.024333,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155277,2025-07-10T13:47:57Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.024333,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155312,2025-07-10T13:48:32Z,MTU2-11,MTU2-11,35(10/11),0,=,MTU2-11,\S,39.024000,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155345,2025-07-10T13:49:05Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.024000,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155381,2025-07-10T13:49:41Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.024333,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155416,2025-07-10T13:50:16Z,MTU2-11,MTU2-11,35(12/10),0,=,MTU2-11,\S,39.024333,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155451,2025-07-10T13:50:51Z,MTU2-11,MTU2-11,35(13/11),0,=,MTU2-11,\S,39.024167,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155488,2025-07-10T13:51:28Z,MTU2-11,MTU2-11,35(12/11),0,=,MTU2-11,\S,39.024167,-77.073500,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
0,1752155522,2025-07-10T13:52:02Z,MTU2-11,MTU2-11,35(11/12),0,=,MTU2-11,\S,39.024333,-77.073167,,,,,,,Cellular applications,,,hi hi BAT 0.00   0.0 
